零件号,操作员,重复序号,测量值_mm
P01,张三,1,25.0680
P01,张三,2,25.0514
P01,张三,3,25.0740
P01,李四,1,25.0415
P01,李四,2,25.0644
P01,李四,3,25.0316
P01,王五,1,25.0572
P01,王五,2,25.0369
P01,王五,3,25.0525
P02,张三,1,25.1287
P02,张三,2,25.1163
P02,张三,3,25.1105
P02,李四,1,25.0980
P02,李四,2,25.0972
P02,李四,3,25.0944
P02,王五,1,25.1059
P02,王五,2,25.1012
P02,王五,3,25.1059
P03,张三,1,25.1506
P03,张三,2,25.1607
P03,张三,3,25.1690
P03,李四,1,25.1596
P03,李四,2,25.1578
P03,李四,3,25.1390
P03,王五,1,25.1513
P03,王五,2,25.1426
P03,王五,3,25.1580
P04,张三,1,25.2224
P04,张三,2,25.2071
P04,张三,3,25.2108
P04,李四,1,25.1903
P04,李四,2,25.1911
P04,李四,3,25.2048
P04,王五,1,25.2094
P04,王五,2,25.1955
P04,王五,3,25.2065
P05,张三,1,25.2558
P05,张三,2,25.2650
P05,张三,3,25.2581
P05,李四,1,25.2324
P05,李四,2,25.2368
P05,李四,3,25.2456
P05,王五,1,25.2624
P05,王五,2,25.2461
P05,王五,3,25.2615
P06,张三,1,25.3149
P06,张三,2,25.2966
P06,张三,3,25.3079
P06,李四,1,25.2941
P06,李四,2,25.2835
P06,李四,3,25.2926
P06,王五,1,25.3105
P06,王五,2,25.3049
P06,王五,3,25.3083
P07,张三,1,25.3607
P07,张三,2,25.3515
P07,张三,3,25.3605
P07,李四,1,25.3341
P07,李四,2,25.3578
P07,李四,3,25.3405
P07,王五,1,25.3512
P07,王五,2,25.3543
P07,王五,3,25.3587
P08,张三,1,25.4035
P08,张三,2,25.4010
P08,张三,3,25.4221
P08,李四,1,25.3883
P08,李四,2,25.3804
P08,李四,3,25.3983
P08,王五,1,25.3941
P08,王五,2,25.3961
P08,王五,3,25.4005
P09,张三,1,25.4787
P09,张三,2,25.4584
P09,张三,3,25.4686
P09,李四,1,25.4450
P09,李四,2,25.4346
P09,李四,3,25.4414
P09,王五,1,25.4437
P09,王五,2,25.4429
P09,王五,3,25.4503
P10,张三,1,25.5025
P10,张三,2,25.5106
P10,张三,3,25.5097
P10,李四,1,25.5015
P10,李四,2,25.4814
P10,李四,3,25.4856
P10,王五,1,25.4909
P10,王五,2,25.4967
P10,王五,3,25.5022
